,,,240.74000120E-3,-512.000024319E-3,,,,,240.74000120E-3,-39.99999911E-3,
,,,240.76001346E-3,-512.000024319E-3,,,,,240.76001346E-3,-19.9999996E-3,
,,,240.78001082E-3,-512.000024319E-3,,,,,240.78001082E-3,-39.99999911E-3,
,,,240.80000818E-3,-504.000008106E-3,,,,,240.80000818E-3,-19.9999996E-3,
,,,240.82000554E-3,-512.000024319E-3,,,,,240.82000554E-3,-19.9999996E-3,
,,,240.84000289E-3,-504.000008106E-3,,,,,240.84000289E-3,-19.9999996E-3,
,,,240.86000025E-3,-504.000008106E-3,,,,,240.86000025E-3,-39.99999911E-3,
,,,240.88001251E-3,-512.000024319E-3,,,,,240.88001251E-3,-19.9999996E-3,
,,,240.90000987E-3,-512.000024319E-3,,,,,240.90000987E-3,-19.9999996E-3,
,,,240.92000723E-3,-512.000024319E-3,,,,,240.92000723E-3,-19.9999996E-3,
,,,240.94000459E-3,-504.000008106E-3,,,,,240.94000459E-3,-19.9999996E-3,
,,,240.96000195E-3,-512.000024319E-3,,,,,240.96000195E-3,-39.99999911E-3,
,,,240.97999930E-3,-512.000024319E-3,,,,,240.97999930E-3,-19.9999996E-3,
,,,241.00001156E-3,-512.000024319E-3,,,,,241.00001156E-3,-19.9999996E-3,
,,,241.02000892E-3,-512.000024319E-3,,,,,241.02000892E-3,-19.9999996E-3,
,,,241.04000628E-3,-504.000008106E-3,,,,,241.04000628E-3,-19.9999996E-3,
,,,241.06000364E-3,-504.000008106E-3,,,,,241.06000364E-3,-19.9999996E-3,
,,,241.08000100E-3,-504.000008106E-3,,,,,241.08000100E-3,-19.9999996E-3,
,,,241.10001326E-3,-504.000008106E-3,,,,,241.10001326E-3,-19.9999996E-3,
,,,241.12001061E-3,-504.000008106E-3,,,,,241.12001061E-3,-19.9999996E-3,
,,,241.14000797E-3,-504.000008106E-3,,,,,241.14000797E-3,-19.9999996E-3,
,,,241.16000533E-3,-504.000008106E-3,,,,,241.16000533E-3,0.0,
,,,241.18000269E-3,-504.000008106E-3,,,,,241.18000269E-3,-19.9999996E-3,
,,,241.20000005E-3,-504.000008106E-3,,,,,241.20000005E-3,-19.9999996E-3,
,,,241.22001231E-3,-504.000008106E-3,,,,,241.22001231E-3,0.0,
,,,241.24000967E-3,-512.000024319E-3,,,,,241.24000967E-3,-19.9999996E-3,
,,,241.26000702E-3,-512.000024319E-3,,,,,241.26000702E-3,-19.9999996E-3,
,,,241.28000438E-3,-504.000008106E-3,,,,,241.28000438E-3,-19.9999996E-3,
,,,241.30000174E-3,-504.000008106E-3,,,,,241.30000174E-3,-19.9999996E-3,
,,,241.31999910E-3,-512.000024319E-3,,,,,241.31999910E-3,-19.9999996E-3,
,,,241.34001136E-3,-520.000040531E-3,,,,,241.34001136E-3,-19.9999996E-3,
,,,241.36000872E-3,-512.000024319E-3,,,,,241.36000872E-3,-19.9999996E-3,
,,,241.38000607E-3,-512.000024319E-3,,,,,241.38000607E-3,-19.9999996E-3,
,,,241.40000343E-3,-504.000008106E-3,,,,,241.40000343E-3,-19.9999996E-3,
,,,241.42000079E-3,-512.000024319E-3,,,,,241.42000079E-3,-19.9999996E-3,
,,,241.44001305E-3,-512.000024319E-3,,,,,241.44001305E-3,-19.9999996E-3,
,,,241.46001041E-3,-512.000024319E-3,,,,,241.46001041E-3,-19.9999996E-3,
,,,241.48000777E-3,-512.000024319E-3,,,,,241.48000777E-3,0.0,
,,,241.50000513E-3,-512.000024319E-3,,,,,241.50000513E-3,-19.9999996E-3,
,,,241.52000248E-3,-504.000008106E-3,,,,,241.52000248E-3,-19.9999996E-3,
,,,241.53999984E-3,-504.000008106E-3,,,,,241.53999984E-3,-19.9999996E-3,
,,,241.56001210E-3,-512.000024319E-3,,,,,241.56001210E-3,-19.9999996E-3,
,,,241.58000946E-3,-512.000024319E-3,,,,,241.58000946E-3,-19.9999996E-3,
,,,241.60000682E-3,-512.000024319E-3,,,,,241.60000682E-3,-19.9999996E-3,
,,,241.62000418E-3,-512.000024319E-3,,,,,241.62000418E-3,-19.9999996E-3,
